text,score
অই চুদানি মারানি খানকি বেসশা মাগি জন্মের ঠিক নাই তুর তুর ছবি দেখিলেই রাগ ধরে শরিলে মাগি তুই যেদিন মরবি অইদিন অনেক ভালা লাগবে আমার চুদানি মইরাত জাইবি রক্টু নামাজ টামাজ পর শালি তুর ত জাহান্নামেও জায়গা হইবো না টুনটুনি ভালা হইয়া জা ভালা হইতে টাকা লাগেনা রে শালি তুরে এত লুকে চুদেসে তাও তুর সরম নাই কেন আজামের বাচ্চা আজাম,1
অই মাদারচুদ কুত্তার ছাও ভেটকির পোলা ইত্যাদি আর ভালবাসা দেখাইতে পারলাম না এটাই আমার ভালবাসার ব্যক্ত করার নমুনা তোর প্রতি খারাপ থেকো মঠেল আরিফ,1
অই হালার পুত,1
অকা ব্রো,2
অনেক,2
অনেক দিন দইরা ভাবতাছি হোগার বাল গুলা পালামু কিন্তু টাইম আইজ্জা থেংস রে ভাই তোর হোগা মারা খোমা দেখার পর সব গুলা বাল অটোমেটিক পইরা,1
অনেক প্রিয় একটা জায়গা আর আরো ভালো লাগে অস্তগামী সূর্যকে সাথে নিয়ে সমতট ধরে হাটতে,2
অনেক শুভ,2
অন্নেক বড় অনেক অনেক বড় বিশাল বড় আপনার চোখ,1
অপার বাংলা র মানুশের লিংগ অনেক মোটা তোর ভোদা পাটিয়ে পেলবে,1
অভিমানী তৌসিফ,2
অভ্যাস তাই,2
অরে কি সেক্সি,2
অরে কি সেক্সি,2
অর্পিতা দেবী দেখেন আর হিংসে করেন,2
অলরেডি একটা রক্তাক্ত ছবি ভাইরাল অনেকগুলো ছাত্রের স্বিকারোক্তি বেশ কয়েকটা মেয়ের আলাদা আলাদা লাইভ ভয়ে এক বাসায় এবং একটা অফিসে অনেকগুলো মেয়েদের আশ্রয় নেয়া মেয়েদের বাঁচাতে ছেলেদের প্রোটেক্ট লাইন মোহাম্মদপুর হাসপাতালে চিকিৎসা নেয়া অনেকগুলো ছাত্র চোখ উপড়ে ফেলা একটা ছেলে বন্দুক হাতে লীগের হেলমেট পড়া সন্ত্রাসীরা সব সত্য এবং যাচাই করা রেপ এবং হত্যার নিউজটা বিশ্বাস করতে চাই না এমনটা হলে বুকটা ভেঙ্গে যাবে সত্যি বলছি হয়ত কিছুই করতে পারবো না কিন্তু কষ্ট জমে বিদ্রোহী হবে মনে রাইখেন সত্যিই উচিত হয়নি দেশের ভবিষ্যত অন্ধকার পাক হানাদার বাহিনীর সাথে তুলনা করছি,2
অসাধরন চাই আপনার পাশে থাকতে চাই,2
অসাধরন দশা,2
অসাধরন শরিল পরা অনেক ভালো,2
অসাধারণ একটা জোস জিনিস নস্টালজিক করে দিলেন আপু,2
অসাধারণ একটি মুহূর্ত শেষটা চমৎকার ছিল,2
অসাধারন,2
অস্থির লাগছে,0
আই লাব ইউ,2
আইডি তে ঘুরে এলাম দেরি হল নাহ ভাই চরিত্রহীনা উপ্পসস হীন নট হীনা,1
আগুন,2
আগে তোর ছবি দেখলে রেগুলার কমেন্টে গালি দিতাম কিন্তু আমি বিয়ের পর আর তোকে গালি দেয় না কারণ আমার শশুর বাড়ির আত্মীয় গুলান আমার সাথে ফেইসবুক এ এড্ড্ আছে তোরে গালি দিলে তারা দেখে ফেলবে তাই আর গালি দিতে পারিনা কিন্তু মনে মনে,1
আগের মত খাড়ায় না এখন ভ্লা হয়ে গেলে কেমনে হইবো কওন দেখি,1
আচুদা চেয়ে বড় কিছু থাকলে তুই সেটা মাদারি তোর জন্য সরম গন্ডার আর তোর চামড়ার প্রতিযোগিতা হইলে তুই জিতবি,1
আচ্ছা আজকে কি তাবিজ্জা একটু বেশি ঠাপ মেরেছে ইসসস জনি তোরে পাইললে খুশি হয়া শালা শ্রমিক,1
আচ্ছা আপনি কি পুরো পুরুষ জাতিকে আপনার গোলাম বানাতে এই দুধের জন্য একদিন বাংলাদেশে হামলা করবে পশ্চিমা বিশ্ব,1
আজকা বৃষ্টিতে ভিজ্জা ঠাণ্ডা লাইগা নাক দিয়া খালি মলম বাইর হইতাছে তুমার হুগা মারা ছবিগুলান দেইখা ইচ্ছা করতাছে এক এক ফোটা মলম তোমারা পাছায় লাগাইয়া তাবিজ্জারে খবর দিতে যাতে রড় আমদানি রপ্তানিতে কোনরকম অসুবিধা না হয় হালারপোয়ালা,1
আজকে আমার কিছু বলতে পারছি না দাতেদাত চেপে সহ্য,1
আজকে আমি জানলাম এই কাঁচাগোল্লার ইতিহাস কিন্তু আপনার লেখার অপেক্ষায় ও থাকলাম আপু,2
আজকে তরে একটু মানুষ ব্রাপ্যান্টি কি তাবিজের কাছে জমা দিয়া,1
আজকে তুর হোগা মারা শেষ,1
আজব জিনিস,1
আপনাকি ফকির নাকি যে বিকাশ করলে নেকি পাওয়া যাইবো,1
আপনাকে দেখলে যৌবন ঠিক রাখতে পারি না আশা করি এরকম পিক আর দিবেন না এরকম পিক দেন আর হাতের কাম সারা,1
আপনার ডেন্টাল চেম্বারটা আপানার ট্রিটমেন্ট খুব দরকার,2
আপনার পিক দেখার পর সপ্তাহ আর ভালো যায় না খালি ডায়রিয়া হয়,1
আপনার বডি গাড রাখবেন আমাকে,2
আপনার মিষ্টি পায়ের সুন্দর জুতা জোড়া চেটে চেটে ক্লিন করে দেই,1
আপান তিল টা কই,1
